Time,R.ASIS.X,R.ASIS.Y,R.ASIS.Z,L.ASIS.X,L.ASIS.Y,L.ASIS.Z,V.Sacral.X,V.Sacral.Y,V.Sacral.Z,R.Thigh.Upper.X,R.Thigh.Upper.Y,R.Thigh.Upper.Z,R.Thigh.Front.X,R.Thigh.Front.Y,R.Thigh.Front.Z,R.Thigh.Rear.X,R.Thigh.Rear.Y,R.Thigh.Rear.Z,L.Thigh.Upper.X,L.Thigh.Upper.Y,L.Thigh.Upper.Z,L.Thigh.Front.X,L.Thigh.Front.Y,L.Thigh.Front.Z,L.Thigh.Rear.X,L.Thigh.Rear.Y,L.Thigh.Rear.Z,R.Shank.Upper.X,R.Shank.Upper.Y,R.Shank.Upper.Z,R.Shank.Front.X,R.Shank.Front.Y,R.Shank.Front.Z,R.Shank.Rear.X,R.Shank.Rear.Y,R.Shank.Rear.Z,L.Shank.Upper.X,L.Shank.Upper.Y,L.Shank.Upper.Z,L.Shank.Front.X,L.Shank.Front.Y,L.Shank.Front.Z,L.Shank.Rear.X,L.Shank.Rear.Y,L.Shank.Rear.Z,R.Heel.X,R.Heel.Y,R.Heel.Z,R.Midfoot.Sup.X,R.Midfoot.Sup.Y,R.Midfoot.Sup.Z,R.Midfoot.Lat.X,R.Midfoot.Lat.Y,R.Midfoot.Lat.Z,R.Toe.Tip.X,R.Toe.Tip.Y,R.Toe.Tip.Z,L.Heel.X,L.Heel.Y,L.Heel.Z,L.Midfoot.Sup.X,L.Midfoot.Sup.Y,L.Midfoot.Sup.Z,L.Midfoot.Lat.X,L.Midfoot.Lat.Y,L.Midfoot.Lat.Z,L.Toe.Tip.X,L.Toe.Tip.Y,L.Toe.Tip.Z,Sternum.X,Sternum.Y,Sternum.Z,R.Acromium.X,R.Acromium.Y,R.Acromium.Z,L.Acromium.X,L.Acromium.Y,L.Acromium.Z,R.Bicep.X,R.Bicep.Y,R.Bicep.Z,L.Bicep.X,L.Bicep.Y,L.Bicep.Z,R.Elbow.X,R.Elbow.Y,R.Elbow.Z,L.Elbow.X,L.Elbow.Y,L.Elbow.Z,R.Wrist.Med.X,R.Wrist.Med.Y,R.Wrist.Med.Z,R.Wrist.Lat.X,R.Wrist.Lat.Y,R.Wrist.Lat.Z,L.Wrist.Med.X,L.Wrist.Med.Y,L.Wrist.Med.Z,L.Wrist.Lat.X,L.Wrist.Lat.Y,L.Wrist.Lat.Z,R.Toe.Lat.X,R.Toe.Lat.Y,R.Toe.Lat.Z,R.Toe.Med.X,R.Toe.Med.Y,R.Toe.Med.Z,L.Toe.Lat.X,L.Toe.Lat.Y,L.Toe.Lat.Z,L.Toe.Med.X,L.Toe.Med.Y,L.Toe.Med.Z,R.Temple.X,R.Temple.Y,R.Temple.Z,L.Temple.X,L.Temple.Y,L.Temple.Z,Top.Head.X,Top.Head.Y,Top.Head.Z
0.617,607.29193,1048.53101,117.566,607.65247,1035.65466,-143.67473,409.22021,1046.42004,-2.55947,650.00378,740.64746,173.15657,718.59839,696.73114,74.46152,684.11176,623.97955,168.8848,470.89621,757.21002,-189.88577,553.80737,694.42908,-132.95798,438.34164,652.09674,-168.25992,688.41016,445.64313,160.40939,776.1496,443.38187,114.82167,734.383,372.67453,172.79065,349.60651,449.16074,-159.97617,385.69904,387.12473,-112.11607,316.00525,415.79303,-165.20241,800.95941,56.43383,97.06409,927.87378,127.52796,75.96368,922.71588,104.80963,180.9117,1064.79443,165.1754,126.88313,151.30122,105.16061,-63.08083,319.39798,71.2026,-61.01588,301.69659,67.7054,-134.37906,420.38364,44.11755,-63.82532,640.51483,1347.78833,-15.7518,536.55579,1440.45569,189.87204,587.44641,1463.80664,-224.00467,513.6825,1243.93433,236.19698,629.23853,1230.56189,-252.12723,453.31567,1148.52087,261.17136,598.32678,1126.32092,-292.94748,582.97174,912.1665,271.21973,536.38562,898.88818,314.98169,780.987,967.16986,-216.51379,750.3161,932.56409,-276.24658,1011.76971,121.65438,201.7225,1020.40698,140.36179,92.32745,353.70425,36.87394,-141.25499,375.58624,46.39568,-40.43249,714.59076,1566.76685,71.85493,731.3045,1570.92615,-66.53448,730.00989,1744.27588,12.57295
0.633,608.8949,1045.99707,119.01595,608.383,1034.44788,-141.42201,410.98898,1043.5968,3.12743,656.63776,740.65533,173.31351,726.5188,698.99451,74.9362,691.85107,623.60675,168.20923,469.57477,755.98749,-188.30551,552.78876,693.15521,-132.6806,436.98746,651.4361,-168.16631,693.86438,445.19653,161.04218,781.45453,439.69189,112.89323,738.31171,370.62543,171.508,346.06406,449.9704,-160.78188,378.05899,386.67841,-111.11449,310.58005,417.25525,-165.44328,791.3877,56.83569,94.95457,921.85529,120.35616,73.64478,914.7453,98.68701,178.70094,1059.61511,150.70799,124.18157,135.3382,110.76883,-64.36597,302.44861,69.02702,-69.30095,284.45599,68.27063,-135.27478,401.68988,43.97198,-63.96186,641.16119,1344.88916,-12.28966,537.2702,1437.06848,194.5258,587.51886,1461.79321,-219.57825,514.84698,1240.27686,239.65097,627.73804,1229.61414,-249.1423,455.69641,1144.36389,264.84351,596.49799,1126.15369,-291.75873,587.39502,908.96545,273.02518,540.45453,894.83142,318.1543,777.1236,961.836,-217.17429,746.15674,928.1994,-276.38702,1002.61566,108.88644,199.08852,1013.60052,127.02373,90.36989,335.12677,36.9066,-141.60614,357.97147,45.69538,-40.82858,715.53577,1565.44788,76.79471,731.52893,1569.00256,-61.09388,730.11078,1742.01147,17.45728
0.65,611.28754,1044.31372,122.25097,609.24634,1032.71338,-139.16844,413.35907,1041.37756,8.79505,661.52252,739.44427,174.75206,734.09723,700.4848,76.6571,699.08813,623.84894,168.64833,469.56772,755.06525,-186.41289,551.98517,691.18964,-131.54868,436.61902,651.15002,-167.69748,699.48248,445.08429,160.24312,788.16876,437.11807,109.06168,739.41931,368.76385,170.34373,342.95081,450.65958,-161.25537,372.42584,385.16501,-112.69652,306.79141,419.04541,-165.67059,778.41943,57.96999,93.16856,912.45038,111.88302,71.50459,903.54608,91.64961,176.60188,1051.75427,133.28862,121.66878,120.54929,117.86085,-65.94403,286.45816,70.87849,-69.25899,267.62003,68.89233,-136.14867,382.99158,43.88969,-63.96416,641.68799,1343.16431,-8.18587,538.19598,1434.26929,198.85437,588.70813,1461.75916,-215.81197,516.92267,1237.49414,243.61034,625.79779,1228.47803,-245.29202,458.5177,1140.72119,268.7406,595.03918,1125.25378,-288.63742,591.6814,905.97925,276.18152,545.17987,892.01508,320.63019,771.65161,956.65314,-217.03542,740.08295,924.77997,-277.31546,990.24335,94.41219,197.69524,1003.79773,111.32642,88.66818,316.56372,36.92905,-141.8394,340.58167,44.87072,-40.95996,715.59509,1563.36169,81.73156,731.09711,1567.7168,-56.22723,729.83972,1740.62561,23.02777
0.667,613.99084,1043.13611,124.55566,610.95721,1032.12524,-137.03075,416.03833,1039.99231,13.65537,666.78503,740.61163,175.52629,740.62122,703.11304,78.9987,704.24536,624.92065,168.96733,471.12085,754.44696,-184.34337,553.45593,690.35254,-131.42754,437.8353,650.65735,-166.22533,702.75702,446.11569,159.40517,790.46039,435.51947,108.20208,741.22955,368.28577,168.02141,341.51044,451.8121,-161.46519,369.14026,385.05417,-112.07448,304.99692,421.10522,-165.95497,763.73663,59.69804,92.03382,900.60583,103.46324,69.7822,890.51587,84.80969,174.84702,1041.7019,115.83575,119.52025,107.19576,126.78181,-67.79694,271.41193,76.39135,-61.59337,251.30795,69.68269,-136.90814,364.14792,43.77568,-63.84371,643.34564,1342.85413,-3.50668,539.51947,1431.94934,204.36345,589.04132,1461.02991,-209.81772,519.86615,1234.45337,247.84969,626.84149,1228.51587,-242.10558,461.73138,1137.71265,272.72574,594.22534,1125.35413,-285.52765,596.11646,904.31952,279.79364,549.89374,889.71027,323.27649,766.25574,950.87714,-217.70268,732.40222,920.9538,-278.49469,979.73865,80.11802,196.91969,991.89697,96.17546,87.17467,298.11539,36.93153,-141.81834,323.37076,43.98932,-40.77343,716.33539,1562.28418,86.21885,731.57251,1567.27209,-51.1662,729.93549,1740.38916,28.59861
0.683,615.38068,1043.41321,127.10342,612.22943,1032.19275,-134.04742,418.8522,1039.51001,17.56771,669.14917,741.00616,178.02151,745.80444,706.18414,82.17667,707.7356,626.23364,169.13826,474.43826,753.97968,-182.28685,556.86011,689.54626,-130.60022,440.03641,649.89899,-164.48772,708.38165,448.78052,159.37047,795.23138,434.31369,106.83965,743.24341,369.7598,169.06316,342.88669,452.45636,-161.27512,368.35132,384.84671,-112.34953,305.73016,423.31235,-166.45992,748.13519,61.72896,91.63421,887.05066,96.12873,68.6543,876.3418,78.84888,173.66254,1029.66431,100.26585,117.94943,95.72723,137.8857,-69.78999,257.22501,83.02197,-52.14841,235.74309,71.037,-137.49835,345.25873,43.53495,-63.60054,644.35529,1343.00403,1.17172,539.98816,1430.00745,209.86847,588.43951,1461.76379,-203.46254,521.79321,1232.65137,252.46019,626.36688,1228.95154,-237.6273,465.31967,1135.42761,276.70721,591.00043,1127.39026,-281.81125,601.09131,902.26392,282.79672,554.19324,887.07568,326.52097,759.00024,945.31586,-217.94881,724.4715,917.90173,-278.59476,964.23969,69.70527,195.13924,978.25562,83.32399,85.89509,279.91864,36.99764,-141.47112,306.38989,43.23927,-40.32219,717.84436,1562.56274,92.34917,732.39929,1567.69263,-45.85284,731.32434,1740.55286,34.0327
0.7,619.87292,1045.47986,129.53596,614.99915,1033.0061,-131.56935,421.70621,1039.81067,20.79564,674.9444,744.24609,181.491,752.14691,709.27399,84.86687,712.90271,628.24786,169.98071,479.65195,753.39325,-180.34477,562.87292,689.71368,-129.59351,446.35056,648.81592,-164.36113,711.3797,452.71841,161.33179,798.67932,435.14856,106.08676,743.88751,371.72348,170.52159,348.17877,453.32938,-161.31245,369.71924,384.19434,-113.24477,309.53012,425.53717,-167.34082,731.82227,63.7669,91.94113,872.27576,90.39607,68.18264,861.23895,74.01772,173.22513,1015.82245,87.31124,117.13564,86.81267,151.53204,-71.69441,244.04541,89.04243,-45.60081,221.34058,73.59496,-137.96161,326.76093,43.13072,-63.23383,646.48792,1344.13721,5.43349,542.94464,1430.30273,214.9308,590.49829,1463.48572,-198.64595,525.42841,1232.16626,256.64426,626.15271,1230.20349,-234.06468,469.27966,1133.91553,280.73309,589.62573,1130.13013,-279.38684,606.26563,901.48749,285.44839,560.52502,886.42761,329.76715,750.04822,940.55475,-218.57686,711.31482,915.46063,-277.83459,949.59851,62.4094,193.52048,963.08545,73.23228,84.95681,262.30597,37.39886,-140.9771,289.78235,42.9706,-39.75816,718.93195,1564.20361,97.51762,733.80286,1568.80603,-40.38924,732.76648,1741.51636,39.9181
0.717,623.57184,1047.9762,132.25929,617.22528,1034.01526,-129.20877,424.52716,1040.6593,23.68852,680.03717,747.07715,183.4926,757.06238,712.35138,86.74185,719.61731,630.88153,171.85185,486.81644,752.3952,-178.52151,570.39734,689.59863,-128.34769,455.58511,647.64813,-164.25902,710.95221,453.84671,164.29897,792.39569,431.92935,110.44566,741.02008,372.49493,172.64397,355.87219,453.97052,-163.50592,374.4364,382.89755,-115.01069,316.83356,427.6778,-168.61913,714.8551,65.60162,92.79637,856.57489,86.29928,68.29079,845.25653,70.27457,173.56076,1000.43915,76.89447,117.1338,81.32589,168.02296,-73.21406,232.30215,94.6905,-42.79506,208.67329,78.09107,-138.35719,309.26254,42.50831,-62.84002,647.80328,1346.09521,10.83412,544.3725,1430.52209,221.00314,591.5437,1466.0249,-192.80392,528.42328,1232.44263,262.21857,622.69073,1232.45386,-228.80937,473.60464,1133.16663,284.89456,587.4776,1133.10608,-274.6062,611.29486,901.36041,289.10223,565.09967,885.90063,332.91376,741.20178,937.03833,-219.88377,703.22729,914.20001,-279.64328,933.06458,55.95234,192.85608,946.75348,65.62174,84.54162,245.80478,38.59857,-140.71216,273.84317,43.63977,-39.31622,721.14862,1565.3175,102.8957,735.10248,1570.3783,-34.79163,733.31927,1743.39819,45.87684
0.733,626.45636,1050.20898,135.32732,618.29932,1035.10583,-125.22986,427.20667,1041.82959,26.5107,681.96704,747.88538,187.33124,758.80939,712.2218,90.87033,721.14661,632.1936,175.0961,495.85172,750.85248,-176.92719,582.47565,690.38562,-127.70572,468.33267,645.70367,-164.97171,709.1593,455.0047,168.2383,791.09631,430.74942,110.33443,737.49438,372.19443,175.63528,369.97333,454.20746,-165.23796,383.75558,381.63205,-116.51566,327.86798,429.70752,-170.12976,697.32465,67.07593,93.88439,840.10883,83.56658,68.78443,828.43866,67.49533,174.45618,983.80554,68.71807,117.73273,80.24652,187.43329,-74.0361,222.61153,101.10259,-42.51952,198.45456,85.16036,-138.74545,293.29791,41.52866,-62.65815,650.2876,1348.88184,15.78061,546.15631,1431.89465,225.464,590.75513,1469.22083,-187.42247,531.83643,1233.08167,266.60684,623.7793,1235.79138,-225.50822,478.26559,1133.09668,289.19669,584.77338,1136.82629,-270.72125,616.91315,901.8938,292.93225,571.64478,886.5105,336.34076,730.90051,933.77356,-219.51274,692.08289,913.78961,-280.59875,916.56537,48.37606,193.43988,929.59991,60.02544,84.67957,231.0507,41.17839,-141.01826,259.11157,45.68647,-39.27996,721.30469,1567.43433,107.87763,735.25586,1573.24707,-29.45819,734.45453,1744.55579,51.04416
0.75,630.09967,1052.7594,138.74394,620.90973,1037.10767,-122.33519,429.55826,1043.20398,29.39379,682.88635,748.80774,190.37129,757.29559,710.99805,95.58089,717.04517,630.65363,181.37399,506.46191,748.91608,-175.79945,595.3562,691.37946,-128.31723,483.84451,641.83704,-164.23019,706.72357,455.67331,172.30495,784.37659,428.92041,114.08022,730.81055,371.47864,179.13344,385.10693,453.18588,-166.66711,395.82632,381.02628,-118.89975,342.5231,431.73926,-171.59242,679.34387,68.06882,94.84606,822.9726,81.82031,69.41381,810.90302,65.60865,175.50587,966.21118,62.56607,118.51381,84.40721,209.36702,-73.93933,215.70787,109.12766,-43.36707,191.43126,95.0825,-139.21448,279.35828,40.11114,-62.99942,652.10693,1351.33826,20.11719,546.01434,1432.93311,230.89328,593.17206,1472.75098,-182.92184,535.80212,1233.90967,271.22665,621.81671,1238.16589,-221.30316,483.19986,1133.55859,293.56909,581.07843,1140.48474,-267.14459,623.16473,903.1897,296.11978,577.52753,887.29486,339.53683,718.68011,930.14783,-218.60432,679.87598,914.09985,-280.40164,897.36133,43.31254,194.0762,911.77441,56.02623,85.1571,218.59187,45.6599,-141.94115,246.4503,49.4768,-39.85678,721.68341,1568.71985,113.27029,735.28424,1575.45227,-25.07486,734.05334,1747.19019,56.3465
0.767,633.01874,1055.00342,141.44476,623.0108,1038.94287,-119.30598,431.35489,1044.80115,32.34242,680.75714,749.48413,194.97803,755.68561,710.83502,99.00414,713.04297,631.14453,184.5425,518.14484,746.93542,-175.15608,610.45386,692.80603,-129.04155,501.40704,638.94806,-166.14761,699.00281,455.91086,176.1895,776.95532,427.16904,116.4155,721.33142,371.40732,182.27325,405.40268,454.49243,-172.43718,412.52768,382.3963,-120.25626,360.32059,434.02011,-172.74004,661.01697,68.56754,95.46662,805.25293,80.71633,69.95444,792.84497,64.53238,176.33757,947.97076,58.21995,119.13268,94.10983,232.78926,-72.83691,212.36409,118.80195,-44.4422,188.12299,107.5606,-139.73691,268.11484,38.50033,-64.13181,653.54169,1354.37854,24.31714,549.35559,1435.3634,235.44423,593.0705,1476.30005,-178.33362,539.89862,1235.23389,275.15152,619.46027,1241.2168,-218.17082,488.33514,1134.4082,297.92111,577.82428,1144.75061,-264.08502,630.18561,904.94177,298.85837,584.98694,888.69604,343.51263,707.91205,928.93658,-218.14864,667.30029,914.99402,-280.8504,878.88776,43.20546,194.77193,893.38495,53.27122,85.65954,208.94711,52.32798,-143.17711,237.02785,55.25006,-41.0564,721.29749,1571.48755,117.73606,735.61469,1578.16833,-20.6001,735.13635,1750.01404,60.78426
0.783,634.09589,1057.38025,144.6427,623.43408,1040.89844,-116.21011,432.44308,1046.72168,35.27208,676.6355,749.56592,197.66176,750.50238,710.23834,103.99104,708.68945,632.27972,188.1409,530.30481,745.29504,-174.62701,624.41943,694.16315,-129.64735,518.53448,636.72473,-166.70874,689.10474,456.00082,177.95667,763.68933,425.47229,120.29202,709.16254,370.89273,184.1821,426.08737,453.96707,-171.37787,428.56335,381.26294,-120.03613,380.50882,436.84869,-173.38565,642.44,68.71473,95.78942,787.06146,80.00362,70.27058,774.45709,64.05756,176.81827,929.39374,55.35182,119.49833,108.74769,256.08429,-70.70471,213.3109,129.2852,-45.39848,188.80403,121.80344,-140.09074,260.59442,37.47959,-66.17607,654.81104,1357.55762,27.44522,550.91827,1437.58325,238.85164,592.37427,1479.93994,-174.06483,543.14178,1236.77856,279.30087,616.6051,1244.74817,-214.79297,493.60992,1135.57617,302.1713,573.65704,1149.43909,-261.33444,637.29944,907.04333,301.71527,592.3714,890.49866,346.853,692.90375,927.08801,-217.5593,654.75012,916.65295,-280.84283,861.6665,41.39356,194.74567,874.62213,51.43376,85.97198,203.26439,61.28424,-144.42529,232.1734,62.95122,-42.73095,722.94318,1574.82153,121.44347,734.95978,1581.7439,-16.33359,735.24915,1752.84766,65.67432
0.8,634.35748,1060.1582,147.47806,624.54095,1042.61169,-112.92963,432.83682,1049.05029,38.08908,672.96527,750.79553,200.75594,745.40131,709.32294,107.00906,702.17255,632.27533,190.67976,542.3913,744.34186,-173.73817,640.94635,697.94489,-130.18163,537.59814,634.50513,-166.90616,677.01007,455.71298,179.43507,755.25031,425.5408,121.44856,695.29523,370.96024,184.3329,449.03857,454.53229,-172.96315,450.74399,382.84402,-120.97533,402.11847,440.50677,-173.38676,623.68488,68.74004,95.99299,768.53107,79.52522,70.3388,755.8728,63.88636,177.01779,910.69745,53.57668,119.69183,126.73369,277.36334,-67.56502,219.2491,138.93431,-46.17688,193.69308,136.76077,-140.00264,258.25031,38.29712,-69.06775,654.65436,1360.41003,29.49841,553.34174,1440.01074,243.58282,591.86255,1483.93896,-170.95544,547.39703,1239.4491,283.55978,613.82062,1247.87781,-211.92203,498.94208,1137.06873,306.26254,568.67889,1152.56116,-256.93314,644.67841,909.90588,304.7088,600.95593,893.38794,349.77509,680.53625,926.10382,-216.72153,641.82678,918.95624,-281.5386,842.77002,41.66091,194.22775,855.70813,50.21939,86.04343,203.60414,72.51083,-145.70297,233.1572,72.11302,-44.70203,722.4267,1577.85022,125.06408,734.92151,1584.47119,-13.02259,734.50037,1755.79395,69.6459
0.817,635.15204,1063.36389,150.33862,624.7193,1044.79651,-109.49049,432.70337,1051.78113,40.74091,668.14355,751.06262,203.662,739.38239,708.50952,109.47292,692.63556,631.82721,192.51799,553.99829,744.36346,-172.22495,653.40112,702.10138,-129.70952,552.02985,634.38763,-165.3838,664.61914,456.66394,179.63882,740.13116,423.32495,124.53117,680.47217,370.67773,186.16609,471.83469,456.19611,-171.13629,469.4313,386.30591,-118.85034,424.10724,445.16104,-172.62761,604.78668,68.82948,96.1787,749.78357,79.19132,70.23026,737.16559,63.78,177.05617,891.96967,52.52409,119.81828,146.103,294.95358,-63.56606,230.78491,145.47762,-46.86364,202.98442,151.24498,-139.32655,262.67563,42.00045,-72.55251,652.74066,1362.68018,33.19337,553.22369,1442.52161,246.2774,590.1192,1486.78833,-168.00812,550.90326,1241.46912,286.58072,609.56714,1250.82947,-208.74847,504.21915,1138.91821,310.14709,563.66522,1156.94714,-254.46213,652.50568,913.38898,306.78442,608.40863,895.90912,352.60941,670.31097,927.75745,-216.44623,629.79742,920.68103,-279.51941,824.38184,40.86806,194.99274,836.79547,49.39438,85.92486,211.9863,85.59881,-147.14766,240.88771,81.95117,-46.77304,721.79956,1580.35144,127.88162,734.71124,1588.10059,-9.8661,734.03046,1759.03894,72.91405
0.833,635.07892,1066.14453,153.1317,624.20239,1048.06616,-106.657,432.25534,1054.8175,43.1975,661.31775,751.88519,205.83504,733.15112,706.90869,111.04426,683.02856,632.16266,194.44341,564.87885,745.52637,-170.10245,666.12646,706.87555,-128.41917,567.7196,635.81647,-164.11342,650.86884,456.77951,180.92041,726.55365,423.01157,125.42301,666.23047,370.72491,187.20024,493.47903,461.2222,-170.79294,489.24768,390.64575,-118.22493,445.74722,450.66492,-171.13152,585.77399,69.04581,96.33852,730.8999,78.94987,70.06446,718.354,63.64748,177.03932,873.20142,51.86968,119.94408,165.57033,307.87402,-59.03886,248.09256,146.86874,-47.59156,216.77582,164.06604,-138.14273,274.7923,48.47638,-76.12045,652.26862,1366.0813,34.84143,554.74103,1445.64197,249.14523,587.7785,1490.52527,-165.59883,555.24835,1244.49902,289.30008,604.98785,1254.0697,-206.5123,509.3486,1141.12146,313.76727,556.30182,1160.97412,-252.05185,660.27478,917.03558,308.56006,616.90656,899.50958,355.12601,658.49927,928.40881,-215.1971,616.2002,923.66382,-278.20279,805.29333,40.63183,194.45464,817.94843,48.82759,85.7011,229.08653,99.42738,-148.66911,255.49419,91.51257,-48.65517,721.42114,1583.66003,130.401,733.66571,1591.42139,-7.04941,733.24731,1762.21899,76.33083
0.85,634.26837,1069.04907,155.99287,624.10773,1051.75049,-104.0959,431.62726,1058.03186,45.42835,652.94257,751.89929,207.88287,723.7063,705.94183,112.90775,673.31567,631.87604,196.11324,574.9184,747.80585,-167.59483,677.26013,713.49792,-126.29363,582.77557,638.31036,-161.73434,636.03668,456.66544,181.71382,711.34149,421.72928,125.92239,650.95898,370.1636,187.78432,514.46625,467.04691,-167.69362,511.4921,395.73819,-118.76701,466.81122,456.45859,-169.12869,566.69263,69.34644,96.42507,711.9245,78.76904,69.95215,699.43243,63.51681,177.04251,854.35199,51.38422,120.07543,185.01103,315.94711,-54.46233,270.43073,143.57278,-48.19133,234.98024,174.22797,-136.68585,294.21143,56.22938,-79.06348,652.1814,1369.08618,35.86434,555.80414,1448.69629,251.2066,585.89508,1493.59448,-164.12961,558.75806,1246.91174,292.2121,600.80267,1257.23816,-204.88397,514.28558,1143.61401,317.0856,550.62231,1164.31152,-249.22427,667.87079,921.7049,310.58398,624.81042,903.48328,357.59152,646.43835,929.49695,-214.06587,607.16022,926.39148,-279.08258,786.06927,40.6931,194.28995,799.20947,48.50068,85.49307,253.42897,112.11583,-149.91109,276.10641,99.7873,-49.98164,721.52258,1586.74573,133.39601,733.72235,1594.87854,-4.82135,732.8316,1765.44409,79.05663
0.867,633.16925,1071.79333,158.91083,623.9361,1055.96582,-101.69016,430.82004,1061.30554,47.40511,647.44464,753.10211,209.30875,714.92639,704.67523,114.28045,662.97925,631.84552,197.77045,584.19519,750.99396,-165.04514,688.59296,721.19287,-124.48095,597.83246,642.22919,-160.45012,622.13104,457.25659,182.97804,697.4433,421.27133,128.0614,634.32526,370.4606,188.99876,534.47028,472.96158,-166.31581,530.24652,400.49152,-117.39297,487.24042,461.80533,-166.87692,547.59119,69.66426,96.39888,692.89575,78.63165,69.94925,680.42804,63.43212,177.0777,835.40039,50.96362,120.15895,204.91629,319.45294,-50.33247,295.99649,140.46376,-47.99113,257.27365,181.07637,-135.1702,319.54324,63.2692,-80.78205,651.39862,1372.23755,37.02015,556.39642,1452.05615,253.46318,582.23999,1496.3938,-162.035,562.30359,1250.28992,293.99466,594.45917,1259.64783,-204.15939,519.01263,1146.29517,320.12518,543.12134,1167.70593,-247.76187,675.96082,926.65796,312.06647,634.15259,907.72015,359.147,636.21582,932.10022,-212.51045,596.82507,929.2533,-276.61978,766.45337,39.45523,194.46782,780.57654,48.39207,85.44434,281.44485,121.30063,-150.43307,301.25439,105.89996,-50.44603,721.24756,1589.63293,135.45453,733.60712,1598.25793,-2.99371,731.00854,1768.72656,81.36714
0.883,632.14197,1073.87561,161.67116,622.66162,1060.19849,-98.96858,429.76422,1064.52148,49.12817,638.18127,753.5871,210.63719,706.01221,703.75055,115.43244,651.62372,632.12781,199.73882,593.02356,754.77905,-162.80269,698.64764,728.5285,-122.7142,611.38879,646.96466,-159.18945,605.20068,457.38034,184.41302,679.43182,420.64883,129.11778,618.06653,370.85236,189.23158,553.30664,478.5036,-164.12358,550.24994,405.31772,-114.38567,506.82196,466.16318,-164.48068,528.49561,69.97998,96.28026,673.8692,78.53192,70.04129,661.39807,63.36126,177.08247,816.35229,50.58046,120.14835,225.66585,318.72348,-47.04338,322.80084,143.38216,-46.31475,283.19431,184.36398,-133.72267,349.29395,68.16549,-81.01237,650.28589,1375.09521,38.69153,557.10321,1455.28137,254.94847,579.59113,1499.54846,-161.07178,565.24982,1253.33362,296.04022,588.45074,1262.19702,-203.12798,523.50964,1149.06262,322.95883,535.23969,1171.20691,-246.04652,683.79449,931.71808,312.60687,642.41772,912.5257,360.58148,626.59979,934.42542,-211.66742,586.40143,931.97156,-275.29922,748.28809,40.09453,195.27301,761.89233,48.3551,85.59184,309.54291,125.15309,-149.92122,329.60141,109.3076,-49.94054,720.45575,1592.83582,136.4415,732.21552,1601.45264,-1.31896,731.03424,1771.76892,83.16831
0.9,630.6955,1076.14905,164.30829,622.13416,1064.42603,-96.15321,428.43658,1067.55554,50.63097,631.75848,754.08301,212.35686,696.14392,702.04895,116.28242,640.1134,632.44244,200.54684,601.75378,758.86462,-161.09271,709.60632,736.1543,-119.99225,625.77429,651.07013,-157.96436,589.58051,457.47714,184.87108,663.70734,420.01852,130.93713,600.60498,370.92145,189.60268,573.4917,481.42249,-162.10249,571.48462,409.82953,-112.80106,525.40399,469.31503,-162.00488,509.41617,70.30729,96.14671,654.90796,78.46707,70.16313,642.37726,63.21749,176.95923,797.23669,50.2114,120.07229,247.35358,313.9949,-44.85025,350.03543,152.25623,-43.26144,312.22772,184.15532,-132.37788,382.42706,70.41518,-79.80909,649.33362,1377.75098,39.40667,558.2774,1458.75684,256.08643,577.47833,1501.96582,-160.12585,567.52582,1255.96741,298.16849,582.4519,1264.78528,-202.69711,527.7287,1151.81763,325.65509,527.14398,1174.4386,-243.50163,690.80298,937.01855,312.96448,650.2478,917.19257,361.76324,616.12921,937.2085,-209.57169,576.10522,934.69012,-273.10529,729.05231,39.70182,195.21408,742.92181,48.19006,85.80637,337.008,123.62605,-148.32782,360.34656,109.85697,-48.54436,719.88116,1595.55981,137.25385,730.96277,1604.34351,-1.00522,729.74487,1776.2533,83.51105
0.917,629.2345,1077.953,166.85728,620.5722,1067.90015,-93.74471,426.87762,1070.29102,51.91467,623.71417,754.31531,211.96408,686.54816,701.09906,117.86461,627.76398,632.36176,201.73782,610.51807,763.06348,-159.93898,719.06812,743.44128,-118.17024,637.41144,655.87701,-156.55115,573.30359,458.44055,186.27097,648.06805,419.73627,131.93599,583.15485,371.33054,190.44907,591.56329,484.0802,-159.29132,590.65961,412.83112,-110.45137,543.22937,471.26205,-159.64268,490.38846,70.642,96.05478,636.05249,78.42675,70.23759,623.35803,62.99535,176.66803,778.12726,49.82313,119.99802,269.98007,305.44897,-43.82832,378.22736,160.96457,-39.6978,343.76312,180.65524,-131.07068,418.33578,70.23036,-77.46843,648.40698,1380.16797,40.26231,556.72784,1461.58081,257.77914,574.79962,1504.21509,-159.6514,569.91327,1259.33167,299.33865,575.97394,1266.73071,-201.60896,531.58893,1154.44666,328.21222,519.71918,1177.73096,-243.77275,698.3161,942.74615,312.25696,659.25922,921.5896,361.52457,608.19751,939.97449,-208.45708,565.87347,936.90558,-271.12262,711.62866,38.82946,195.02274,723.60144,47.81138,85.94661,365.99362,118.27652,-145.93127,393.18329,107.73827,-46.44172,718.30457,1598.05151,137.90469,730.12207,1606.98535,-0.32793,728.49329,1777.09998,84.98975
