premax,salmax,minairtemp,maxairtemp,maxsst,maxsoilmoist,Max_czcs,runoffnew
235.71,3531,288.4,300.5,302163,0,0.41,0
162.5,3488,280.9,305,301860,0,1.02,0
200,3488,281,305,301860,4,1.72,0
250,3488,282,303,301860,4,1.85,25
250,3484,284,304,303359,6,1.32,25
250,3492,281.6,304.5,303663,0,1.54,0
225,3485,280,305,303636,7,2.16,0
216.67,3480,281.5,304.4,303697,0,2.75,0
250,3477,283,304,303578,8,3.37,0
250,3533,288,300,302145,8,0.58,600
150,3502,282,305,301881,3,1.3,0
250,3485,280,305,303688,5,2.73,25
150,3484,280,305,303697,4,3.33,25
150,3534,287,300,302140,9,0.16,600
178.57,3538,286.7,300.5,302130,0,0.35,0
150,3529,277.6,307.3,301923,0,0.65,0
150,3524,277,308,301914,4,1.86,25
150,3529,284.5,301.4,302147,0,0.5,0
85.71,3536,277.4,309.1,302033,1.11,1.44,16
125,3545,276.3,308.5,301940,0,1.93,0
150,3537,276,308,301943,4,2.19,25
150,3533,283,302,302078,12,0.92,150
150,3539,285,302,301865,8,0.67,600
150,3542,283.9,302.4,301750,0,0.33,0
50.33,3510,279,308.4,301593,0,1.63,0
64.43,3510,278.1,309.1,301727,0,2.13,0
75,3518,278.1,308.8,301707,0,1.71,0
75,3524,279,308,301817,1,3.33,25
75,3536,277,310,301960,2,3.26,25
150,3545,283,303,301539,12,0.65,0
75,3547,283,302.5,301473,0,0.63,0
38,3513,280.7,306.7,300517,1.58,0.22,25
42.11,3512,280.1,307.3,300937,1.53,1.89,20
38,3509,280,308,301593,2,4.97,25
75,3511,277,310,301601,2,7.8,25
75,3546,283.5,302,301247,0,0.86,0
34,3523,281.4,305.6,299937,1.83,0.42,20
38,3516,281,306,300498,2,5.5,25
75,3548,283,302,301241,11,2.36,75
75,3550,285,301,301150,6,1,75
24.67,3526,282,304.3,299187,1.59,0.55,7
75,3552,282,302,300957,12,1.43,75
75,3556,282.2,301,300923,0,0.58,0
18,3530,283,302,298930,1,1.03,0
75,3546,281,300,300781,12,0.48,150
75,3539,281,300.2,300840,0,0.32,0
75,3542,281,300,300503,2.97,0.22,38
18,3542,280.6,305.9,297913,2.02,0.34,3
22,3542,280,306,297975,2,1.96,0
18,3541,279,309,298027,3,6.39,25
75,3535,281,300,300411,13,0.65,150
75,3533,280.6,299.8,300123,0,0.3,0
31.33,3551,280,307,297311,3,0.82,0
38,3551,279,309,297268,3,4.57,25
133.33,3517,279.9,299.1,299833,0,0.27,0
47.25,3555,280.3,305.9,297010,0,0.56,0
38,3556,281,305,296854,2,1.03,0
250,3524,279,299,299721,14,0.28,0
75,3559,281,301,296380,1,0.82,0
250,3538,281,298,298969,9,0.32,600
69.71,3560,281,301.3,296230,0,0.47,0
250,3540,280.6,298,298870,0,0.4,0
96.43,3563,281,300.4,295720,2.12,0.31,0
75,3564,281,301,295451,4,0.86,0
183.33,3551,279.7,297.3,298503,5.31,0.31,107
150,3566,281,299,295050,4,0.61,0
38,3613,278,301,292288,2,0.65,25
38,3613,278,301,292330,2,0.86,25
18,3613,278,302,292338,2,1.27,25
150,3558,279,297,298293,11,0.51,75
150,3565,278.7,297,298073,10.51,0.27,43
142.5,3566,281.1,296.8,294423,0,0.59,0
38,3592,276,301,291887,3,0.62,25
38,3606,278,298,292206,1,0.6,25
38,3613,277.6,298.9,292363,0,0.63,0
38,3613,277.3,300.2,292307,0,0.75,0
38,3613,277.3,301,292280,0,0.66,0
20.86,3612,277.3,302,292380,1.79,0.59,16
31.33,3616,277,302.4,292233,0,1.17,0
38,3609,277,303,292045,5,2.55,25
38,3648,275,303,290700,6,3.9,25
120,3560,278,297,297705,13,0.49,0
150,3569,281,295,294423,5,0.92,0
38,3580,277,300,291736,6,0.52,25
75,3583,277,299,291656,5,0.61,25
59.14,3584,277,300,291683,4,0.91,0
43.29,3589,276.8,299.9,291840,0,0.54,0
44.73,3601,277.4,300.5,291773,0,1,0
38,3613,277,301,291212,5,0.98,25
38,3628,277,300,290725,4,0.7,25
38,3650,277,300,290700,5,2.57,25
38,3642,275,302,290666,6,5.63,25
150,3556,279,296,295987,11,0.46,300
150,3567,282,292,292873,3,0.75,0
38,3572,279,296,291927,6,0.39,25
45.4,3574,277.8,298.1,292100,0,0.29,0
62.67,3582,277,299.5,291673,4.67,0.34,19
75,3581,277,299.8,291530,3.46,0.37,6
75,3608,279,295,290646,3,0.86,0
51.63,3635,277.8,298.4,290700,0,0.78,0
38,3618,278,298,290499,5,1.24,25
75,3614,276,300,290416,6,1.31,25
75,3558,277,297,295647,15,0.4,300
108.33,3556,277.6,296.5,295987,13.34,0.36,245
150,3564,282,292,293557,0,0.59,0
150,3568,280.7,294.3,291907,5.63,0.31,17
94,3570,279.5,294.9,291803,5.07,0.57,25
38,3572,279,296.3,291820,4.53,0.3,17
68.83,3593,278.7,296.5,290337,0,0.45,0
62.67,3589,278.4,296.9,290397,1.92,0.71,7
75,3606,279,294,290460,3,1.38,25
57.73,3596,277,299,290175,6,1.27,0
38,3583,277,299,289839,7,1.3,25
75,3561,276,296,294620,14,0.49,0
150,3560,282,292,293643,3,1.24,0
150,3561,281,292,293367,0,0.85,0
75,3573,279,295.8,289850,0,0.37,0
67.6,3577,278.3,296.7,289903,0,0.58,0
50.33,3583,277.5,297.2,289770,0,1.07,0
75,3563,275,294,293930,14,0.46,300
75,3564,276.1,294.5,294287,12.8,0.43,191
150,3554,281,292,292803,3.17,1.33,0
150,3553,280,292,292992,7,3.1,0
150,3556,279,292,293137,0,1.82,0
67.6,3564,278.6,294.2,289443,3.14,0.7,14
75,3562,279,292,289304,6,1.95,25
75,3562,278,292,292951,8,0.6,300
75,3562,276.8,293,293217,10.5,0.48,300
150,3542,278.8,291.7,292547,0,2.54,0
150,3548,278,292,292877,11,2.94,1200
150,3551,277.7,291.9,293227,7.03,1.19,840
150,3555,278,292,293247,6.65,0.92,750
150,3556,278,292,293003,2.94,0.76,400
75,3554,278.8,292,289090,3.47,0.54,19
75,3555,278.1,292,289080,0,0.62,0
75,3555,278,292,289080,10,0.89,75
75,3548,277,292,289175,10,1.07,300
84.38,3553,276.4,293.3,289693,0,0.88,0
75,3547,277,292,289624,10,1.11,300
75,3551,278,291,290089,7,1.76,300
75,3564,276.8,292,290533,0,1.03,0
150,3527,277.3,291,291963,0,2.25,0
150,3550,278,292,292638,10,2.01,1200
150,3558,278,292,292577,0,1.13,0
75,3540,277.3,292.4,288830,0,0.62,0
75,3542,276.6,292.3,289247,3.9,0.78,61
75,3547,277.4,290.8,289927,0,0.68,0
75,3552,277.2,290.3,290287,0,0.99,0
75,3555,276.8,290.1,290700,0,0.82,0
150,3505,276.8,289.8,291480,0,1.02,0
150,3510,277,290,291358,11,2.01,0
150,3539,276.9,291.7,291857,0,0.86,0
150,3532,277,289.1,288717,0,1.12,0
134.38,3536,276.6,288.6,289320,0,0.89,0
91.67,3540,276.7,288.5,289743,4.41,0.65,396
75,3543,276.7,288.5,290110,0,1.07,0
75,3546,277,289,290144,10,0.9,0
150,3502,276.3,288.2,291157,0,0.82,0
150,3500,276.7,288.9,291093,0,1.01,0
150,3499,277,290.1,290800,0,1.05,0
150,3508,277,291,290943,12,1.19,0
150,3523,277,291,291410,11,0.83,600
167.86,3520,276.6,287.7,287883,5.22,0.84,462
150,3531,277,288,288834,10,0.78,1200
75,3535,276,288,289288,12,1.01,1200
75,3538,277,288,289618,9,1.53,1200
75,3540,276.7,288.4,289897,7.05,0.71,514
230,3504,274.9,287.9,290800,10.7,1.14,200
150,3498,276,288,290715,12,2.29,0
150,3495,277,288,290489,8,1.62,1200
150,3494,277.1,289.3,290147,5.89,1.37,480
150,3501,278,290,290490,4,1.04,600
150,3508,277.3,290.7,290657,8.42,0.87,545
250,3517,276,287,287790,10,2.75,0
75,3524,276,288,288517,11,1.02,600
75,3530,276.4,288,289020,7.65,0.74,533
288.64,3495,273.1,287.5,290640,13.73,1.28,1200
350,3491,274,288,290256,15,2.71,0
150,3483,276,288,289608,10,1.96,1200
150,3485,276.8,288.6,289370,7.67,1.61,933
194.44,3504,276.6,287.2,286880,8.31,1.46,600
150,3510,277,287,287338,7,1.85,1200
108.33,3511,276.6,287.5,287320,0,1.04,0
100,3514,276.3,287.7,287893,4.64,0.68,343
350,3472,273.8,285.4,290103,12.42,0.77,2400
266.67,3490,272.9,286.5,290477,12.47,1.13,2000
350,3480,273,287,289747,14,2.3,2400
150,3463,274,288,288471,13,2.18,1200
150,3459,274.9,288,288420,11.18,1.65,1200
300,3462,273.5,285.1,289367,13.55,1.15,2400
350,3470,274,285,289512,11,1.64,2400
160,3441,272.7,287.1,287120,0,1.69,0
250,3467,273,285.1,287943,13.13,2.59,2400
250,3462,273,285,287680,16,2.77,2400
75,3446,273,286,286833,9,2.35,1200
85.71,3442,272.6,286.5,286703,8.25,1.28,764
216.67,3465,273.3,285.3,286957,9.2,2.9,1200
194.44,3456,273.7,285.5,286440,10.06,3.46,1154
150,3456,274,286,286420,14,4.01,1200
150,3448,275,286,286082,10,1.7,600
112.5,3444,273.8,286,286090,9.63,1.05,960
183.33,3456,273.7,285.7,285937,0,2.39,0
150,3453,274.3,285.9,285697,8.22,1.56,600
